"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1829056461491843245","Thu Aug 29 07:20:17 +0000 2024","1","Selamat kepada Paskibraka Nasional 2024 telah sukses mengibarkan Bendera Negara Merah Putih di Upacara Detik-Detik peringatan Proklamasi Kemerdekaan ke-79 RI. #HUT79RI #17agustus #merdeka #IKN #IbuKotaNusantara #daaitv #sebarkankebaikan #discoverinspiringcontent https://t.co/5dUlgJwjD8","1829056461491843245","https://pbs.twimg.com/ext_tw_video_thumb/1829055857566314497/pu/img/yBu8xOokGM4waHCm.jpg","","in","Jakarta","0","0","0","https://x.com/daaitvindonesia/status/1829056461491843245","281569877","daaitvindonesia"
"1829056347616444580","Thu Aug 29 07:19:50 +0000 2024","0","Kontribusi Pos Indonesia atau PosIND dalam pembangunan IKN amat beragam mulai dari mendukung infrastruktur logistik hingga menyumbang nilai investasi. #PosIND #PosIndonesia @PosIndonesia https://t.co/iyncHJYrTJ","1829056347616444580","https://pbs.twimg.com/media/GWIdDgOagAAMGB-.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829056347616444580","1187174688612474881","DivaCatrii"
"1829056220562678042","Thu Aug 29 07:19:19 +0000 2024","0","Wow ternyata #PosIND juga ikut serta dalam menyumbang nilai investasi di IKN. #PosIndonesia @PosIndonesia https://t.co/hIEu6v8iKR","1829056220562678042","https://pbs.twimg.com/media/GWIc7xPasAUjSrl.jpg","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/CHika_040416/status/1829056220562678042","1371083937959661568","CHika_040416"
"1829056181459136877","Thu Aug 29 07:19:10 +0000 2024","0","Pembangunan Ibu Kota Nusantara (IKN) melibatkan peran banyak stakeholder termasuk PT Pos Indonesia (Persero). #PosIND #PosIndonesia @PosIndonesia https://t.co/dq73l5rZZ4","1829056181459136877","https://pbs.twimg.com/media/GWIc52TasAA_SeB.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829056181459136877","1187174688612474881","DivaCatrii"
"1829056149418860758","Thu Aug 29 07:19:02 +0000 2024","0","Jadi Ibu Kota Baru Inilah Perkembangan Pembangunan IKN - SIS 16/08 https://t.co/OE7fQhKIO2 lewat @YouTube","1829056149418860758","","","in"," Indonesia","0","0","0","https://x.com/dellov/status/1829056149418860758","126607693","dellov"
"1828976729345667095","Thu Aug 29 07:18:53 +0000 2024","0","@al_thighnariy Ikn ikan Mana bisa begitu Tapi klo beneran bisa mau coba sih..","1829056109547794682","","al_thighnariy","in","","0","1","0","https://x.com/avxen/status/1829056109547794682","1281018430087290880","avxen"
"1829056042467987895","Thu Aug 29 07:18:37 +0000 2024","0","Kontribusi PT Pos Indonesia (Persero) atau PosIND dalam pembangunan IKN beragam dari infrastruktur logistik hingga menyumbang nilai investasi. #PosIND #PosIndonesia @PosIndonesia https://t.co/l2heBm4xXk","1829056042467987895","https://pbs.twimg.com/media/GWIcxtgasAEoneE.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829056042467987895","1187174688612474881","DivaCatrii"
"1829056000399483211","Thu Aug 29 07:18:27 +0000 2024","0","@PosIndonesia rencananya akan menyediakan jasa kurir dan logistik di IKN melalui investasi bertahap. #PosIND #PosIndonesia https://t.co/50rVqvm1jT","1829056000399483211","https://pbs.twimg.com/media/GWIcu0RasAAeesw.jpg","PosIndonesia","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/CHika_040416/status/1829056000399483211","1371083937959661568","CHika_040416"
"1829055921575862577","Thu Aug 29 07:18:08 +0000 2024","0","Begini Suasana Rapat Pertama Menko PMK Otorita IKN di Kantor Kemenko 1 https://t.co/CU8yNuW41j #ikn #ibukotanusantara #iknnusantara #indonesiaemas2045 #dukungpembangunanikn #iknmajukanindonesia #iknkotakelasdunia #investorikn #ibukotanegara #indonesiamaju https://t.co/MkZWfuncaB","1829055921575862577","https://pbs.twimg.com/media/GWIcbBhaoAAu6WP.jpg","","in","","0","0","0","https://x.com/iknpos_id/status/1829055921575862577","1798999878665973760","iknpos_id"
"1829055899765469656","Thu Aug 29 07:18:03 +0000 2024","0","Kontribusi PosIND dalam Pembangunan Ibu Kota Nusantara (IKN) #PosIND #PosIndonesia @PosIndonesia https://t.co/5W49YsAhtz","1829055899765469656","https://pbs.twimg.com/media/GWIcpb9bgAAH5pN.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829055899765469656","1187174688612474881","DivaCatrii"
